ID,hp,name,type1
1,45,Bulbasaur,2
2,60,Ivysaur,2
3,80,Venusaur,2
4,45,Oddish,2
5,60,Gloom,2
6,75,Vileplume,2
7,50,Bellsprout,2
8,65,Weepinbell,2
9,80,Victreebel,2
10,60,Exeggcute,2
11,95,Exeggutor,2
12,65,Tangela,2
13,45,Chikorita,2
14,60,Bayleef,2
15,80,Meganium,2
16,75,Bellossom,2
17,35,Hoppip,2
18,55,Skiploom,2
19,75,Jumpluff,2
20,30,Sunkern,2
21,75,Sunflora,2
22,40,Treecko,2
23,50,Grovyle,2
24,70,Sceptile,2
25,40,Seedot,2
26,70,Nuzleaf,2
27,90,Shiftry,2
28,60,Shroomish,2
29,60,Breloom,2
30,50,Roselia,2
