ID,hp,name,type1
1,44,Squirtle,1
2,59,Wartortle,1
3,79,Blastoise,1
4,50,Psyduck,1
5,80,Golduck,1
6,40,Poliwag,1
7,65,Poliwhirl,1
8,90,Poliwrath,1
9,40,Tentacool,1
10,80,Tentacruel,1
11,90,Slowpoke,1
12,95,Slowbro,1
13,65,Seel,1
14,90,Dewgong,1
15,30,Shellder,1
16,50,Cloyster,1
17,30,Krabby,1
18,55,Kingler,1
19,30,Horsea,1
20,55,Seadra,1
21,45,Goldeen,1
22,80,Seaking,1
23,30,Staryu,1
24,60,Starmie,1
25,20,Magikarp,1
26,95,Gyarados,1
27,130,Lapras,1
28,130,Vaporeon,1
29,50,Totodile,1
30,65,Croconaw,1
